2024-09-09 14:18:16,873 INFO    StreamThr :367799 [internal.py:wandb_internal():85] W&B internal server running at pid: 367799, started at: 2024-09-09 14:18:16.872668
2024-09-09 14:18:16,874 DEBUG   HandlerThread:367799 [handler.py:handle_request():158] handle_request: status
2024-09-09 14:18:16,875 INFO    WriterThread:367799 [datastore.py:open_for_write():87] open: /home/hepe00001/Desktop/neuro_explicit/generative_diffusion/DeepLayout/layout_transformer/wandb/run-20240909_141816-tazm8v9h/run-tazm8v9h.wandb
2024-09-09 14:18:16,876 DEBUG   SenderThread:367799 [sender.py:send():391] send: header
2024-09-09 14:18:16,878 DEBUG   SenderThread:367799 [sender.py:send():391] send: run
2024-09-09 14:18:17,315 INFO    SenderThread:367799 [dir_watcher.py:__init__():211] watching files in: /home/hepe00001/Desktop/neuro_explicit/generative_diffusion/DeepLayout/layout_transformer/wandb/run-20240909_141816-tazm8v9h/files
2024-09-09 14:18:17,316 INFO    SenderThread:367799 [sender.py:_start_run_threads():1200] run started: tazm8v9h with start time 1725884296.871696
2024-09-09 14:18:17,321 DEBUG   HandlerThread:367799 [handler.py:handle_request():158] handle_request: run_start
2024-09-09 14:18:17,331 DEBUG   HandlerThread:367799 [system_info.py:__init__():26] System info init
2024-09-09 14:18:17,331 DEBUG   HandlerThread:367799 [system_info.py:__init__():41] System info init done
2024-09-09 14:18:17,331 INFO    HandlerThread:367799 [system_monitor.py:start():194] Starting system monitor
2024-09-09 14:18:17,331 INFO    SystemMonitor:367799 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-09-09 14:18:17,331 INFO    HandlerThread:367799 [system_monitor.py:probe():214] Collecting system info
2024-09-09 14:18:17,331 INFO    SystemMonitor:367799 [interfaces.py:start():188] Started cpu monitoring
2024-09-09 14:18:17,332 INFO    SystemMonitor:367799 [interfaces.py:start():188] Started disk monitoring
2024-09-09 14:18:17,332 INFO    SystemMonitor:367799 [interfaces.py:start():188] Started gpu monitoring
2024-09-09 14:18:17,333 INFO    SystemMonitor:367799 [interfaces.py:start():188] Started memory monitoring
2024-09-09 14:18:17,333 INFO    SystemMonitor:367799 [interfaces.py:start():188] Started network monitoring
2024-09-09 14:18:17,343 DEBUG   HandlerThread:367799 [system_info.py:probe():152] Probing system
2024-09-09 14:18:17,345 DEBUG   HandlerThread:367799 [system_info.py:_probe_git():137] Probing git
2024-09-09 14:18:17,349 DEBUG   HandlerThread:367799 [system_info.py:_probe_git():145] Probing git done
